vote_event_id,voter_id,option,group_id,
1001,2010-533751-1-47-3,yes,kscm_party,
1001,2010-533751-1-53-1,yes,ods_party,
1001,2010-533751-1-47-5,yes,kscm_party,
1001,2010-533751-1-53-2,yes,ods_party,
1001,2010-533751-1-47-4,yes,kscm_party,
1001,2010-533751-1-47-1,yes,kscm_party,
1001,2010-533751-1-47-2,yes,kscm_party,
1001,2010-533751-1-47-7,abstain,kscm_party,
1001,2010-533751-1-47-8,abstain,kscm_party,
1001,2010-533751-1-47-6,abstain,kscm_party,
1002,2010-533751-1-47-3,yes,kscm_party,
1002,2010-533751-1-53-1,yes,ods_party,
1002,2010-533751-1-47-5,yes,kscm_party,
1002,2010-533751-1-53-2,yes,ods_party,
1002,2010-533751-1-47-4,yes,kscm_party,
1002,2010-533751-1-47-1,yes,kscm_party,
1002,2010-533751-1-47-2,yes,kscm_party,
1002,2010-533751-1-47-7,abstain,kscm_party,
1002,2010-533751-1-47-8,abstain,kscm_party,
1002,2010-533751-1-47-6,abstain,kscm_party,
1003,2010-533751-1-47-3,yes,kscm_party,
1003,2010-533751-1-53-1,yes,ods_party,
1003,2010-533751-1-47-5,yes,kscm_party,
1003,2010-533751-1-53-2,yes,ods_party,
1003,2010-533751-1-47-4,yes,kscm_party,
1003,2010-533751-1-47-1,yes,kscm_party,
1003,2010-533751-1-47-2,yes,kscm_party,
1003,2010-533751-1-47-7,abstain,kscm_party,
1003,2010-533751-1-47-8,abstain,kscm_party,
1003,2010-533751-1-47-6,abstain,kscm_party,
1004,2010-533751-1-47-3,yes,kscm_party,
1004,2010-533751-1-53-1,yes,ods_party,
1004,2010-533751-1-47-5,yes,kscm_party,
1004,2010-533751-1-53-2,yes,ods_party,
1004,2010-533751-1-47-4,yes,kscm_party,
1004,2010-533751-1-47-1,yes,kscm_party,
1004,2010-533751-1-47-2,yes,kscm_party,
1004,2010-533751-1-47-7,abstain,kscm_party,
1004,2010-533751-1-47-8,abstain,kscm_party,
1004,2010-533751-1-47-6,abstain,kscm_party,
1005,2010-533751-1-47-3,yes,kscm_party,
1005,2010-533751-1-53-1,yes,ods_party,
1005,2010-533751-1-47-5,yes,kscm_party,
1005,2010-533751-1-53-2,yes,ods_party,
1005,2010-533751-1-47-4,yes,kscm_party,
1005,2010-533751-1-47-1,yes,kscm_party,
1005,2010-533751-1-47-2,yes,kscm_party,
1005,2010-533751-1-47-7,abstain,kscm_party,
1005,2010-533751-1-47-8,abstain,kscm_party,
1005,2010-533751-1-47-6,abstain,kscm_party,
1006,2010-533751-1-47-3,yes,kscm_party,
1006,2010-533751-1-53-1,yes,ods_party,
1006,2010-533751-1-47-5,yes,kscm_party,
1006,2010-533751-1-53-2,yes,ods_party,
1006,2010-533751-1-47-4,yes,kscm_party,
1006,2010-533751-1-47-1,yes,kscm_party,
1006,2010-533751-1-47-2,yes,kscm_party,
1006,2010-533751-1-47-7,abstain,kscm_party,
1006,2010-533751-1-47-8,abstain,kscm_party,
1006,2010-533751-1-47-6,abstain,kscm_party,
1007,2010-533751-1-47-3,yes,kscm_party,
1007,2010-533751-1-53-1,yes,ods_party,
1007,2010-533751-1-47-5,yes,kscm_party,
