id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-04,program,3,hlasování o programu,
1002,1,2010-11-04,Volba starosty a místostarosty,4,Zastupitelé hlasovali o souhlasu s volbou jednoho místostarosty,
2001,2,2010-11-10,program,1,hlasování o programu,
2002,2,2010-11-10,Projednání rozpočtového opatření č. 7,3,Zastupitelé hlasovali o přijetí rozpočtového opatření č. 7,
2003,2,2010-11-10,Zvolní předsedy a členů finančního a kontrolního výboru,4,Zastupitelé hlasovali o souhlasu se zřízením finančního a kontrolního výboru a o souhlasu s třemi členy v každém výboru,
2004,2,2010-11-10,Zvolní předsedy a členů finančního a kontrolního výboru,4,"Zastupitelé hlasovali o souhlasu s tím, že členové finančního a kontrolního výboru budou vykonávat své funkce bez nároku na měsíční odměnu",
2005,2,2010-11-10,Zvolení předsedy a členů inventarizační a likvidační komise,5,"Zastupitelé hlasovali o souhlasu s tím, že předseda a členové inventarizační a likvidační komise budou vykonávat své funkce bez nároku na měsíční odměnu",
2006,2,2010-11-10,Projednání měsíční odměny zastupitelů,6,"Zastupitelé hlasovali o souhlasu se stanovením měsíční odměny za výkon funkce neuvolněného člena zastupitelstva ve výši 460,- Kčatoode dne 10. 11. 2010",
2007,2,2010-11-10,Projednání měsíční odměny zastupitelů,6,"Zastupitelé hlasovali o souhlasu se stanovením, že při souběhu výkonu několika funkcí se odměna neuvolněnému členovi zastupitelstva obce poskytne jako součet zastupitelstvem stanovených odměn za jednotlivé funkce",
2008,2,2010-11-10,Určeni koeficientu daně z nemovitosti pro rok 2011,7,Zastupitelé hlasovali o souhlasu s nejnižším koeficientem daně z nemovitosti č. 1,
2009,2,2010-11-10,Projednání vyřazení kopírovacího stroje Canon NP 1550 finvent. č. 17) z evidence majetku obce,8,Zastupitelé hlasovali o souhlasu s vyřazením kopírovacího stroje Canon NP 1550 (invent. Č. 17,
2010,2,2010-11-10,různé,9,"Zastupitelé hlasovali o souhlasu s poskytnutím finančního příspěvku ve výši 18 000,- Kč Diakonii ČCE - středisku Rolnička",
2011,2,2010-11-10,různé,9,Zastupitelé hlasovali o souhlasu s nákupem pozemku pare. č. 99/25 k. ú. Turovec o výměře 96 m,
3001,3,2010-11-30,program,1,hlasování o programu,
3002,3,2010-11-30,Projednání Jednacího řádu zastupitelstva obce Turovec,4,Článek 5. bod 4) - vypustit Část věty - za daný měsíc mu nenáleží příslušná měsíční odměna,
3003,3,2010-11-30,Projednání Jednacího řádu zastupitelstva obce Turovec,4,Článek 6. odst. 3) - místo 3 minuty napsat 5 minut a otočit poslední dvě věty v článku.,
