vote_event_id,voter_id,option,group_id,
1001,2010-532991-1-47-1,yes,kscm_party,
1001,2010-532991-1-902-1,yes,nk_party,
1001,2010-532991-1-904-5,yes,nk_party,
1001,2010-532991-1-901-1,yes,nk_party,
1001,2010-532991-1-7-1,yes,cssd_party,
1001,2010-532991-1-903-1,yes,nk_party,
1001,2010-532991-1-902-2,yes,nk_party,
1001,2010-532991-1-904-1,yes,nk_party,
1001,2010-532991-1-901-3,yes,nk_party,
1002,2010-532991-1-47-1,yes,kscm_party,
1002,2010-532991-1-902-1,yes,nk_party,
1002,2010-532991-1-904-5,yes,nk_party,
1002,2010-532991-1-901-1,yes,nk_party,
1002,2010-532991-1-7-1,yes,cssd_party,
1002,2010-532991-1-903-1,yes,nk_party,
1002,2010-532991-1-902-2,yes,nk_party,
1002,2010-532991-1-904-1,yes,nk_party,
1002,2010-532991-1-901-3,yes,nk_party,
1003,2010-532991-1-47-1,yes,kscm_party,
1003,2010-532991-1-902-1,yes,nk_party,
1003,2010-532991-1-904-5,yes,nk_party,
1003,2010-532991-1-901-1,yes,nk_party,
1003,2010-532991-1-7-1,yes,cssd_party,
1003,2010-532991-1-903-1,yes,nk_party,
1003,2010-532991-1-902-2,yes,nk_party,
1003,2010-532991-1-904-1,yes,nk_party,
1003,2010-532991-1-901-3,yes,nk_party,
1004,2010-532991-1-47-1,yes,kscm_party,
1004,2010-532991-1-902-1,yes,nk_party,
1004,2010-532991-1-904-5,yes,nk_party,
1004,2010-532991-1-901-1,yes,nk_party,
1004,2010-532991-1-7-1,yes,cssd_party,
1004,2010-532991-1-903-1,yes,nk_party,
1004,2010-532991-1-902-2,yes,nk_party,
1004,2010-532991-1-904-1,yes,nk_party,
1004,2010-532991-1-901-3,yes,nk_party,
1005,2010-532991-1-47-1,yes,kscm_party,
1005,2010-532991-1-902-1,yes,nk_party,
1005,2010-532991-1-904-5,yes,nk_party,
1005,2010-532991-1-901-1,abstain,nk_party,
1005,2010-532991-1-7-1,yes,cssd_party,
1005,2010-532991-1-903-1,yes,nk_party,
1005,2010-532991-1-902-2,yes,nk_party,
1005,2010-532991-1-904-1,yes,nk_party,
1005,2010-532991-1-901-3,yes,nk_party,
1006,2010-532991-1-47-1,yes,kscm_party,
1006,2010-532991-1-902-1,yes,nk_party,
1006,2010-532991-1-904-5,abstain,nk_party,
1006,2010-532991-1-901-1,yes,nk_party,
1006,2010-532991-1-7-1,yes,cssd_party,
1006,2010-532991-1-903-1,yes,nk_party,
1006,2010-532991-1-902-2,yes,nk_party,
1006,2010-532991-1-904-1,yes,nk_party,
1006,2010-532991-1-901-3,abstain,nk_party,
1007,2010-532991-1-47-1,yes,kscm_party,
1007,2010-532991-1-902-1,yes,nk_party,
1007,2010-532991-1-904-5,yes,nk_party,
1007,2010-532991-1-901-1,yes,nk_party,
1007,2010-532991-1-7-1,yes,cssd_party,
1007,2010-532991-1-903-1,yes,nk_party,
1007,2010-532991-1-902-2,yes,nk_party,
1007,2010-532991-1-904-1,yes,nk_party,
1007,2010-532991-1-901-3,yes,nk_party,
1008,2010-532991-1-47-1,yes,kscm_party,
1008,2010-532991-1-902-1,yes,nk_party,
1008,2010-532991-1-904-5,yes,nk_party,
1008,2010-532991-1-901-1,abstain,nk_party,
1008,2010-532991-1-7-1,abstain,cssd_party,
1008,2010-532991-1-903-1,yes,nk_party,
1008,2010-532991-1-902-2,yes,nk_party,
1008,2010-532991-1-904-1,yes,nk_party,
1008,2010-532991-1-901-3,abstain,nk_party,
1009,2010-532991-1-47-1,yes,kscm_party,
1009,2010-532991-1-902-1,yes,nk_party,
1009,2010-532991-1-904-5,yes,nk_party,
1009,2010-532991-1-901-1,yes,nk_party,
1009,2010-532991-1-7-1,yes,cssd_party,
1009,2010-532991-1-903-1,yes,nk_party,
1009,2010-532991-1-902-2,yes,nk_party,
1009,2010-532991-1-904-1,yes,nk_party,
1009,2010-532991-1-901-3,yes,nk_party,
1010,2010-532991-1-47-1,yes,kscm_party,
1010,2010-532991-1-902-1,yes,nk_party,
1010,2010-532991-1-904-5,abstain,nk_party,
1010,2010-532991-1-901-1,yes,nk_party,
1010,2010-532991-1-7-1,yes,cssd_party,
1010,2010-532991-1-903-1,yes,nk_party,
1010,2010-532991-1-902-2,yes,nk_party,
1010,2010-532991-1-904-1,yes,nk_party,
1010,2010-532991-1-901-3,yes,nk_party,
1011,2010-532991-1-47-1,yes,kscm_party,
1011,2010-532991-1-902-1,yes,nk_party,
1011,2010-532991-1-904-5,yes,nk_party,
1011,2010-532991-1-901-1,yes,nk_party,
1011,2010-532991-1-7-1,yes,cssd_party,
1011,2010-532991-1-903-1,yes,nk_party,
1011,2010-532991-1-902-2,abstain,nk_party,
1011,2010-532991-1-904-1,yes,nk_party,
1011,2010-532991-1-901-3,yes,nk_party,
1012,2010-532991-1-47-1,yes,kscm_party,
1012,2010-532991-1-902-1,yes,nk_party,
1012,2010-532991-1-904-5,yes,nk_party,
1012,2010-532991-1-901-1,yes,nk_party,
1012,2010-532991-1-7-1,yes,cssd_party,
1012,2010-532991-1-903-1,yes,nk_party,
1012,2010-532991-1-902-2,yes,nk_party,
1012,2010-532991-1-904-1,yes,nk_party,
1012,2010-532991-1-901-3,yes,nk_party,
1013,2010-532991-1-47-1,yes,kscm_party,
1013,2010-532991-1-902-1,yes,nk_party,
1013,2010-532991-1-904-5,yes,nk_party,
1013,2010-532991-1-901-1,yes,nk_party,
1013,2010-532991-1-7-1,yes,cssd_party,
1013,2010-532991-1-903-1,yes,nk_party,
1013,2010-532991-1-902-2,yes,nk_party,
1013,2010-532991-1-904-1,yes,nk_party,
1013,2010-532991-1-901-3,yes,nk_party,
1014,2010-532991-1-47-1,yes,kscm_party,
1014,2010-532991-1-902-1,abstain,nk_party,
1014,2010-532991-1-904-5,yes,nk_party,
1014,2010-532991-1-901-1,no,nk_party,
1014,2010-532991-1-7-1,yes,cssd_party,
1014,2010-532991-1-903-1,yes,nk_party,
1014,2010-532991-1-902-2,yes,nk_party,
1014,2010-532991-1-904-1,yes,nk_party,
1014,2010-532991-1-901-3,no,nk_party,
1015,2010-532991-1-47-1,no,kscm_party,
1015,2010-532991-1-902-1,no,nk_party,
1015,2010-532991-1-904-5,no,nk_party,
1015,2010-532991-1-901-1,no,nk_party,
1015,2010-532991-1-7-1,no,cssd_party,
1015,2010-532991-1-903-1,no,nk_party,
1015,2010-532991-1-902-2,no,nk_party,
1015,2010-532991-1-904-1,no,nk_party,
1015,2010-532991-1-901-3,no,nk_party,
1016,2010-532991-1-47-1,no,kscm_party,
1016,2010-532991-1-902-1,no,nk_party,
1016,2010-532991-1-904-5,no,nk_party,
1016,2010-532991-1-901-1,yes,nk_party,
1016,2010-532991-1-7-1,no,cssd_party,
1016,2010-532991-1-903-1,no,nk_party,
1016,2010-532991-1-902-2,no,nk_party,
1016,2010-532991-1-904-1,no,nk_party,
1016,2010-532991-1-901-3,yes,nk_party,
1017,2010-532991-1-47-1,yes,kscm_party,
1017,2010-532991-1-902-1,yes,nk_party,
1017,2010-532991-1-904-5,yes,nk_party,
1017,2010-532991-1-901-1,no,nk_party,
1017,2010-532991-1-7-1,yes,cssd_party,
1017,2010-532991-1-903-1,yes,nk_party,
1017,2010-532991-1-902-2,yes,nk_party,
1017,2010-532991-1-904-1,yes,nk_party,
1017,2010-532991-1-901-3,yes,nk_party,
1018,2010-532991-1-47-1,no,kscm_party,
1018,2010-532991-1-902-1,no,nk_party,
1018,2010-532991-1-904-5,no,nk_party,
1018,2010-532991-1-901-1,no,nk_party,
1018,2010-532991-1-7-1,no,cssd_party,
1018,2010-532991-1-903-1,no,nk_party,
1018,2010-532991-1-902-2,no,nk_party,
1018,2010-532991-1-904-1,no,nk_party,
1018,2010-532991-1-901-3,no,nk_party,
1019,2010-532991-1-47-1,yes,kscm_party,
1019,2010-532991-1-902-1,yes,nk_party,
1019,2010-532991-1-904-5,yes,nk_party,
1019,2010-532991-1-901-1,no,nk_party,
1019,2010-532991-1-7-1,yes,cssd_party,
1019,2010-532991-1-903-1,yes,nk_party,
1019,2010-532991-1-902-2,no,nk_party,
1019,2010-532991-1-904-1,yes,nk_party,
1019,2010-532991-1-901-3,no,nk_party,
1020,2010-532991-1-47-1,yes,kscm_party,
1020,2010-532991-1-902-1,yes,nk_party,
1020,2010-532991-1-904-5,yes,nk_party,
1020,2010-532991-1-901-1,no,nk_party,
1020,2010-532991-1-7-1,abstain,cssd_party,
1020,2010-532991-1-903-1,yes,nk_party,
1020,2010-532991-1-902-2,yes,nk_party,
1020,2010-532991-1-904-1,yes,nk_party,
1020,2010-532991-1-901-3,abstain,nk_party,
1021,2010-532991-1-47-1,yes,kscm_party,
1021,2010-532991-1-902-1,yes,nk_party,
1021,2010-532991-1-904-5,yes,nk_party,
1021,2010-532991-1-901-1,abstain,nk_party,
1021,2010-532991-1-7-1,yes,cssd_party,
1021,2010-532991-1-903-1,yes,nk_party,
1021,2010-532991-1-902-2,yes,nk_party,
1021,2010-532991-1-904-1,yes,nk_party,
1021,2010-532991-1-901-3,yes,nk_party,
1022,2010-532991-1-47-1,yes,kscm_party,
1022,2010-532991-1-902-1,yes,nk_party,
1022,2010-532991-1-904-5,yes,nk_party,
1022,2010-532991-1-901-1,yes,nk_party,
1022,2010-532991-1-7-1,yes,cssd_party,
1022,2010-532991-1-903-1,yes,nk_party,
1022,2010-532991-1-902-2,yes,nk_party,
1022,2010-532991-1-904-1,yes,nk_party,
1022,2010-532991-1-901-3,yes,nk_party,
1023,2010-532991-1-47-1,yes,kscm_party,
1023,2010-532991-1-902-1,yes,nk_party,
1023,2010-532991-1-904-5,yes,nk_party,
1023,2010-532991-1-901-1,yes,nk_party,
1023,2010-532991-1-7-1,yes,cssd_party,
1023,2010-532991-1-903-1,yes,nk_party,
1023,2010-532991-1-902-2,yes,nk_party,
1023,2010-532991-1-904-1,yes,nk_party,
1023,2010-532991-1-901-3,yes,nk_party,
1024,2010-532991-1-47-1,yes,kscm_party,
1024,2010-532991-1-902-1,yes,nk_party,
1024,2010-532991-1-904-5,yes,nk_party,
1024,2010-532991-1-901-1,abstain,nk_party,
1024,2010-532991-1-7-1,yes,cssd_party,
1024,2010-532991-1-903-1,yes,nk_party,
1024,2010-532991-1-902-2,yes,nk_party,
1024,2010-532991-1-904-1,yes,nk_party,
1024,2010-532991-1-901-3,yes,nk_party,
2001,2010-532991-1-47-1,yes,kscm_party,
2001,2010-532991-1-902-1,yes,nk_party,
2001,2010-532991-1-904-5,yes,nk_party,
2001,2010-532991-1-901-1,yes,nk_party,
2001,2010-532991-1-7-1,yes,cssd_party,
2001,2010-532991-1-903-1,absent,nk_party,
2001,2010-532991-1-902-2,abstain,nk_party,
2001,2010-532991-1-904-1,yes,nk_party,
2001,2010-532991-1-901-3,abstain,nk_party,
2002,2010-532991-1-47-1,yes,kscm_party,
2002,2010-532991-1-902-1,yes,nk_party,
2002,2010-532991-1-904-5,yes,nk_party,
2002,2010-532991-1-901-1,abstain,nk_party,
2002,2010-532991-1-7-1,abstain,cssd_party,
2002,2010-532991-1-903-1,absent,nk_party,
2002,2010-532991-1-902-2,yes,nk_party,
2002,2010-532991-1-904-1,yes,nk_party,
2002,2010-532991-1-901-3,yes,nk_party,
2003,2010-532991-1-47-1,yes,kscm_party,
2003,2010-532991-1-902-1,yes,nk_party,
2003,2010-532991-1-904-5,yes,nk_party,
2003,2010-532991-1-901-1,yes,nk_party,
2003,2010-532991-1-7-1,yes,cssd_party,
2003,2010-532991-1-903-1,absent,nk_party,
2003,2010-532991-1-902-2,yes,nk_party,
2003,2010-532991-1-904-1,yes,nk_party,
2003,2010-532991-1-901-3,yes,nk_party,
2004,2010-532991-1-47-1,yes,kscm_party,
2004,2010-532991-1-902-1,yes,nk_party,
2004,2010-532991-1-904-5,yes,nk_party,
2004,2010-532991-1-901-1,abstain,nk_party,
2004,2010-532991-1-7-1,yes,cssd_party,
2004,2010-532991-1-903-1,absent,nk_party,
2004,2010-532991-1-902-2,yes,nk_party,
2004,2010-532991-1-904-1,yes,nk_party,
2004,2010-532991-1-901-3,abstain,nk_party,
2005,2010-532991-1-47-1,yes,kscm_party,
2005,2010-532991-1-902-1,yes,nk_party,
2005,2010-532991-1-904-5,yes,nk_party,
2005,2010-532991-1-901-1,yes,nk_party,
2005,2010-532991-1-7-1,abstain,cssd_party,
2005,2010-532991-1-903-1,absent,nk_party,
2005,2010-532991-1-902-2,yes,nk_party,
2005,2010-532991-1-904-1,yes,nk_party,
2005,2010-532991-1-901-3,yes,nk_party,
2006,2010-532991-1-47-1,yes,kscm_party,
2006,2010-532991-1-902-1,yes,nk_party,
2006,2010-532991-1-904-5,yes,nk_party,
2006,2010-532991-1-901-1,abstain,nk_party,
2006,2010-532991-1-7-1,yes,cssd_party,
2006,2010-532991-1-903-1,absent,nk_party,
2006,2010-532991-1-902-2,yes,nk_party,
2006,2010-532991-1-904-1,yes,nk_party,
2006,2010-532991-1-901-3,abstain,nk_party,
2007,2010-532991-1-47-1,yes,kscm_party,
2007,2010-532991-1-902-1,yes,nk_party,
2007,2010-532991-1-904-5,yes,nk_party,
2007,2010-532991-1-901-1,yes,nk_party,
2007,2010-532991-1-7-1,yes,cssd_party,
2007,2010-532991-1-903-1,absent,nk_party,
2007,2010-532991-1-902-2,yes,nk_party,
2007,2010-532991-1-904-1,yes,nk_party,
2007,2010-532991-1-901-3,yes,nk_party,
2008,2010-532991-1-47-1,yes,kscm_party,
2008,2010-532991-1-902-1,yes,nk_party,
2008,2010-532991-1-904-5,yes,nk_party,
2008,2010-532991-1-901-1,yes,nk_party,
2008,2010-532991-1-7-1,yes,cssd_party,
2008,2010-532991-1-903-1,absent,nk_party,
2008,2010-532991-1-902-2,yes,nk_party,
2008,2010-532991-1-904-1,yes,nk_party,
2008,2010-532991-1-901-3,yes,nk_party,
2009,2010-532991-1-47-1,abstain,kscm_party,
2009,2010-532991-1-902-1,yes,nk_party,
2009,2010-532991-1-904-5,yes,nk_party,
2009,2010-532991-1-901-1,yes,nk_party,
2009,2010-532991-1-7-1,yes,cssd_party,
2009,2010-532991-1-903-1,absent,nk_party,
2009,2010-532991-1-902-2,yes,nk_party,
2009,2010-532991-1-904-1,yes,nk_party,
2009,2010-532991-1-901-3,yes,nk_party,
2010,2010-532991-1-47-1,yes,kscm_party,
2010,2010-532991-1-902-1,yes,nk_party,
2010,2010-532991-1-904-5,yes,nk_party,
2010,2010-532991-1-901-1,abstain,nk_party,
2010,2010-532991-1-7-1,no,cssd_party,
2010,2010-532991-1-903-1,absent,nk_party,
2010,2010-532991-1-902-2,yes,nk_party,
2010,2010-532991-1-904-1,yes,nk_party,
2010,2010-532991-1-901-3,no,nk_party,
2011,2010-532991-1-47-1,yes,kscm_party,
2011,2010-532991-1-902-1,abstain,nk_party,
2011,2010-532991-1-904-5,yes,nk_party,
2011,2010-532991-1-901-1,yes,nk_party,
2011,2010-532991-1-7-1,yes,cssd_party,
2011,2010-532991-1-903-1,absent,nk_party,
2011,2010-532991-1-902-2,yes,nk_party,
2011,2010-532991-1-904-1,yes,nk_party,
2011,2010-532991-1-901-3,yes,nk_party,
2012,2010-532991-1-47-1,yes,kscm_party,
2012,2010-532991-1-902-1,yes,nk_party,
2012,2010-532991-1-904-5,yes,nk_party,
2012,2010-532991-1-901-1,no,nk_party,
2012,2010-532991-1-7-1,abstain,cssd_party,
2012,2010-532991-1-903-1,absent,nk_party,
2012,2010-532991-1-902-2,yes,nk_party,
2012,2010-532991-1-904-1,yes,nk_party,
2012,2010-532991-1-901-3,yes,nk_party,
2013,2010-532991-1-47-1,yes,kscm_party,
2013,2010-532991-1-902-1,yes,nk_party,
2013,2010-532991-1-904-5,yes,nk_party,
2013,2010-532991-1-901-1,yes,nk_party,
2013,2010-532991-1-7-1,yes,cssd_party,
2013,2010-532991-1-903-1,absent,nk_party,
2013,2010-532991-1-902-2,yes,nk_party,
2013,2010-532991-1-904-1,yes,nk_party,
2013,2010-532991-1-901-3,abstain,nk_party,
2014,2010-532991-1-47-1,yes,kscm_party,
2014,2010-532991-1-902-1,yes,nk_party,
2014,2010-532991-1-904-5,yes,nk_party,
2014,2010-532991-1-901-1,yes,nk_party,
2014,2010-532991-1-7-1,yes,cssd_party,
2014,2010-532991-1-903-1,absent,nk_party,
2014,2010-532991-1-902-2,yes,nk_party,
2014,2010-532991-1-904-1,yes,nk_party,
2014,2010-532991-1-901-3,abstain,nk_party,
2015,2010-532991-1-47-1,yes,kscm_party,
2015,2010-532991-1-902-1,yes,nk_party,
2015,2010-532991-1-904-5,yes,nk_party,
2015,2010-532991-1-901-1,yes,nk_party,
2015,2010-532991-1-7-1,yes,cssd_party,
2015,2010-532991-1-903-1,absent,nk_party,
2015,2010-532991-1-902-2,yes,nk_party,
2015,2010-532991-1-904-1,yes,nk_party,
2015,2010-532991-1-901-3,yes,nk_party,
2016,2010-532991-1-47-1,no,kscm_party,
2016,2010-532991-1-902-1,no,nk_party,
2016,2010-532991-1-904-5,no,nk_party,
2016,2010-532991-1-901-1,yes,nk_party,
2016,2010-532991-1-7-1,yes,cssd_party,
2016,2010-532991-1-903-1,absent,nk_party,
2016,2010-532991-1-902-2,no,nk_party,
