id,classification_id,classification,name,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
top-09_affiliation,affiliation,Stranická příslušnost,TOP 09,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
903_list,list,Kandidátní listina,listina nezávislých kandidátů,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
904_list,list,Kandidátní listina,listina nezávislých kandidátů,
906_list,list,Kandidátní listina,listina nezávislých kandidátů,
