id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-12-12,program,1,Zastupitelstvo obce Úhonice schvaluje změnu programu svého dnešního veřejného zasedání spočívající ve vypuštění budu č. 15. Návrh na odvolání pana R.S. z funkce starosty obce a vypuštění bodu č. 9. Smlouva o pachtu a provozování vodárenské infrastruktury,
1002,1,2014-12-12,ověřovatelé zápisu,2,Zastupitelstvo obce Úhonice schvaluje ověřovateli zápisu z dnešního svého veřejného zasedání paní Vladislavu Snopkovou a paní Irenu Vondrovou,
1003,1,2014-12-12,ověřovatelé zápisu,2,Zastupitelstvo obce Úhonice schvaluje návrhovou komisi pro své dnešní veřejné zasedání ve složení: Alena Bryndová a Ing. Mgr. M.Slaboch.,
1004,1,2014-12-12,Rozpočet obce Úhonice na rok 2015 včetně závazných ukazatelů ZŠ a MŠ Úhonice,3,Zastupitelstvo obce Úhonice schvaluje Rozpočet obce Úhonice na rok 2015 včetně závazných ukazatelů ZŠ a MŠ Úhonice. Rozpočet obce na rok 2015 je schválen jako vyrovnaný,
1005,1,2014-12-12,Rozpočtový výhled na roky 2015-2018,4,Zastupitelstvo obce Úhonice schvaluje Rozpočtový výhled na roky 2015-2018,
1006,1,2014-12-12,Rozpočtové opatření č. 6/2014,5,Zastupitelstvo obce Úhonice schvaluje Rozpočtové opatření č. 6/2014.,
1007,1,2014-12-12,Volba zastupitele pro jednání s odborem plánování MěÚ Černošice ve věci územního plánu obce Úhonice,6,Zastupitelstvo obce Úhonice schvaluje zástupce obce pro jednání s odborem plánování Městského úřadu Černošice ve věci územního plánu starostu obce Roberta Strnádka,
1008,1,2014-12-12,Převod uspořených prostředků obce,7,Zastupitelstvo obce Úhonice schvaluje převod části uspořených prostředků z minulých let ve výši 5 160 774 Kč na spořící účet obce,
1009,1,2014-12-12,"Vyhlášky obce Úhonice č. 1/2014, kterou se mění vyhláška o místních poplatcích",8,Zastupitelstvo obce Úhonice schvaluje Obecně závaznou vyhlášku obce Úhonice č. 1/2014,
1010,1,2014-12-12,Plánovací smlouva s p. Jírů o zástavbě na p.č. 71/4,9,Zastupitelstvo obce Úhonice zamítá Plánovací smlouvu s panem Václavem Jírů,
