vote_event_id,voter_id,option,group_id,
1001,2010-558486-1-901-2,yes,nk_party,
1001,2010-558486-1-902-3,yes,nk_party,
1001,2010-558486-1-902-1,yes,nk_party,
1001,2010-558486-1-902-4,yes,nk_party,
1001,2010-558486-1-902-2,yes,nk_party,
1001,2010-558486-1-903-7,yes,nk_party,
1001,2010-558486-1-903-1,yes,nk_party,
1001,2010-558486-1-904-9,yes,nk_party,
1001,2010-558486-1-904-2,yes,nk_party,
1002,2010-558486-1-901-2,yes,nk_party,
1002,2010-558486-1-902-3,yes,nk_party,
1002,2010-558486-1-902-1,yes,nk_party,
1002,2010-558486-1-902-4,yes,nk_party,
1002,2010-558486-1-902-2,yes,nk_party,
1002,2010-558486-1-903-7,yes,nk_party,
1002,2010-558486-1-903-1,yes,nk_party,
1002,2010-558486-1-904-9,yes,nk_party,
1002,2010-558486-1-904-2,yes,nk_party,
1003,2010-558486-1-901-2,yes,nk_party,
1003,2010-558486-1-902-3,yes,nk_party,
1003,2010-558486-1-902-1,yes,nk_party,
1003,2010-558486-1-902-4,yes,nk_party,
1003,2010-558486-1-902-2,yes,nk_party,
1003,2010-558486-1-903-7,yes,nk_party,
1003,2010-558486-1-903-1,yes,nk_party,
1003,2010-558486-1-904-9,yes,nk_party,
1003,2010-558486-1-904-2,yes,nk_party,
1004,2010-558486-1-901-2,yes,nk_party,
1004,2010-558486-1-902-3,yes,nk_party,
1004,2010-558486-1-902-1,yes,nk_party,
1004,2010-558486-1-902-4,yes,nk_party,
1004,2010-558486-1-902-2,yes,nk_party,
1004,2010-558486-1-903-7,yes,nk_party,
1004,2010-558486-1-903-1,yes,nk_party,
1004,2010-558486-1-904-9,yes,nk_party,
1004,2010-558486-1-904-2,yes,nk_party,
1005,2010-558486-1-901-2,yes,nk_party,
1005,2010-558486-1-902-3,yes,nk_party,
1005,2010-558486-1-902-1,yes,nk_party,
1005,2010-558486-1-902-4,yes,nk_party,
1005,2010-558486-1-902-2,yes,nk_party,
1005,2010-558486-1-903-7,yes,nk_party,
1005,2010-558486-1-903-1,abstain,nk_party,
1005,2010-558486-1-904-9,yes,nk_party,
1005,2010-558486-1-904-2,yes,nk_party,
2001,2010-558486-1-901-2,yes,nk_party,
2001,2010-558486-1-902-3,yes,nk_party,
2001,2010-558486-1-902-1,yes,nk_party,
2001,2010-558486-1-902-4,yes,nk_party,
2001,2010-558486-1-902-2,yes,nk_party,
2001,2010-558486-1-903-7,absent,nk_party,
2001,2010-558486-1-903-1,absent,nk_party,
2001,2010-558486-1-904-9,yes,nk_party,
2001,2010-558486-1-904-2,yes,nk_party,
2002,2010-558486-1-901-2,yes,nk_party,
2002,2010-558486-1-902-3,yes,nk_party,
2002,2010-558486-1-902-1,yes,nk_party,
2002,2010-558486-1-902-4,yes,nk_party,
2002,2010-558486-1-902-2,yes,nk_party,
2002,2010-558486-1-903-7,absent,nk_party,
2002,2010-558486-1-903-1,absent,nk_party,
2002,2010-558486-1-904-9,yes,nk_party,
2002,2010-558486-1-904-2,yes,nk_party,
2003,2010-558486-1-901-2,yes,nk_party,
2003,2010-558486-1-902-3,yes,nk_party,
2003,2010-558486-1-902-1,yes,nk_party,
2003,2010-558486-1-902-4,yes,nk_party,
2003,2010-558486-1-902-2,yes,nk_party,
2003,2010-558486-1-903-7,absent,nk_party,
2003,2010-558486-1-903-1,absent,nk_party,
2003,2010-558486-1-904-9,yes,nk_party,
2003,2010-558486-1-904-2,yes,nk_party,
2004,2010-558486-1-901-2,yes,nk_party,
2004,2010-558486-1-902-3,yes,nk_party,
2004,2010-558486-1-902-1,yes,nk_party,
2004,2010-558486-1-902-4,yes,nk_party,
2004,2010-558486-1-902-2,yes,nk_party,
2004,2010-558486-1-903-7,absent,nk_party,
2004,2010-558486-1-903-1,absent,nk_party,
2004,2010-558486-1-904-9,yes,nk_party,
2004,2010-558486-1-904-2,yes,nk_party,
2005,2010-558486-1-901-2,yes,nk_party,
2005,2010-558486-1-902-3,yes,nk_party,
2005,2010-558486-1-902-1,yes,nk_party,
2005,2010-558486-1-902-4,yes,nk_party,
2005,2010-558486-1-902-2,yes,nk_party,
2005,2010-558486-1-903-7,absent,nk_party,
2005,2010-558486-1-903-1,absent,nk_party,
2005,2010-558486-1-904-9,yes,nk_party,
2005,2010-558486-1-904-2,yes,nk_party,
2006,2010-558486-1-901-2,no,nk_party,
2006,2010-558486-1-902-3,yes,nk_party,
2006,2010-558486-1-902-1,yes,nk_party,
2006,2010-558486-1-902-4,yes,nk_party,
2006,2010-558486-1-902-2,yes,nk_party,
2006,2010-558486-1-903-7,absent,nk_party,
2006,2010-558486-1-903-1,absent,nk_party,
2006,2010-558486-1-904-9,yes,nk_party,
2006,2010-558486-1-904-2,yes,nk_party,
2007,2010-558486-1-901-2,no,nk_party,
2007,2010-558486-1-902-3,yes,nk_party,
2007,2010-558486-1-902-1,yes,nk_party,
2007,2010-558486-1-902-4,yes,nk_party,
2007,2010-558486-1-902-2,yes,nk_party,
2007,2010-558486-1-903-7,absent,nk_party,
2007,2010-558486-1-903-1,absent,nk_party,
2007,2010-558486-1-904-9,yes,nk_party,
2007,2010-558486-1-904-2,yes,nk_party,
3001,2010-558486-1-901-2,no,nk_party,
3001,2010-558486-1-902-3,no,nk_party,
3001,2010-558486-1-902-1,no,nk_party,
3001,2010-558486-1-902-4,absent,nk_party,
3001,2010-558486-1-902-2,no,nk_party,
3001,2010-558486-1-903-7,no,nk_party,
3001,2010-558486-1-903-1,no,nk_party,
3001,2010-558486-1-904-9,no,nk_party,
3001,2010-558486-1-904-2,no,nk_party,
3002,2010-558486-1-901-2,yes,nk_party,
3002,2010-558486-1-902-3,yes,nk_party,
3002,2010-558486-1-902-1,yes,nk_party,
3002,2010-558486-1-902-4,absent,nk_party,
3002,2010-558486-1-902-2,yes,nk_party,
3002,2010-558486-1-903-7,yes,nk_party,
3002,2010-558486-1-903-1,yes,nk_party,
3002,2010-558486-1-904-9,yes,nk_party,
3002,2010-558486-1-904-2,yes,nk_party,
3003,2010-558486-1-901-2,yes,nk_party,
3003,2010-558486-1-902-3,yes,nk_party,
3003,2010-558486-1-902-1,yes,nk_party,
3003,2010-558486-1-902-4,absent,nk_party,
3003,2010-558486-1-902-2,yes,nk_party,
3003,2010-558486-1-903-7,yes,nk_party,
3003,2010-558486-1-903-1,yes,nk_party,
3003,2010-558486-1-904-9,yes,nk_party,
3003,2010-558486-1-904-2,yes,nk_party,
3004,2010-558486-1-901-2,yes,nk_party,
3004,2010-558486-1-902-3,yes,nk_party,
3004,2010-558486-1-902-1,yes,nk_party,
3004,2010-558486-1-902-4,absent,nk_party,
3004,2010-558486-1-902-2,yes,nk_party,
3004,2010-558486-1-903-7,yes,nk_party,
3004,2010-558486-1-903-1,yes,nk_party,
3004,2010-558486-1-904-9,yes,nk_party,
3004,2010-558486-1-904-2,yes,nk_party,
3005,2010-558486-1-901-2,abstain,nk_party,
3005,2010-558486-1-902-3,yes,nk_party,
3005,2010-558486-1-902-1,yes,nk_party,
3005,2010-558486-1-902-4,absent,nk_party,
3005,2010-558486-1-902-2,yes,nk_party,
3005,2010-558486-1-903-7,yes,nk_party,
3005,2010-558486-1-903-1,abstain,nk_party,
3005,2010-558486-1-904-9,yes,nk_party,
3005,2010-558486-1-904-2,yes,nk_party,
5001,2010-558486-1-901-2,absent,nk_party,
5001,2010-558486-1-902-3,absent,nk_party,
5001,2010-558486-1-902-1,yes,nk_party,
5001,2010-558486-1-902-4,yes,nk_party,
5001,2010-558486-1-902-2,yes,nk_party,
5001,2010-558486-1-903-7,yes,nk_party,
5001,2010-558486-1-903-1,yes,nk_party,
5001,2010-558486-1-904-9,yes,nk_party,
5001,2010-558486-1-904-2,absent,nk_party,
