id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-22,Program,-1,Hlasování o navrženém programu:,
1002,1,2010-11-22,"Zapisovatelé, ověřovatelé",0,Starostka obce navrhla zapisovatelkou samu sebe.,
1003,1,2010-11-22,"Zapisovatelé, ověřovatelé",0,Starostka navrhla ověřovateli zápisu Milenu Doležalovou (souhlasí) a Jana Škuthana (souhlasí),
1004,1,2010-11-22,Kontrola plnění usnesení,1,"ZO bere na vědomí informace o usnesení, která zůstávají v platnosti. ZO revokuje část usnesení č. 51/06/10",
1005,1,2010-11-22,Schválení jednacího řádu Zastupitelstva obce Velichov,2,ZO schvaluje Jednací řád Zastupitelstva obce Velichov dle předloženého návrhu.,
1006,1,2010-11-22,Delegace pravomocí starostky obce,3,"ZO deleguje pravomoc starostky obce samostatně rozhodovat o nákupu zboží a služeb do 20 tis. Kč s tím, že o výdajích nad 10 tis. Kč bude informováno ZO na nejbližším jednání. V případě havárie je limit navýšen na 100 tis. Kč.",
1007,1,2010-11-22,Jmenování Komise pro projednávání přestupků Obce Velichov,4,"ZO jmenuje předsedkyní Komise pro projednávání přestupků Obce Velichov Mgr. Evu Hankovou, členy Milenu Doležalovou, Jana Javůrka, Lydii Kučerovou a Jana Škuthana.",
1008,1,2010-11-22,Jmenování redakční rady Velichovských novin,5,"ZO jmenuje redakční radu Velichovských novin ve složení: Jiří Bitman, Milena Doležalová, Miroslav Kučera, Lydie Kučerová a Markéta Moravcová.",
1009,1,2010-11-22,Jmenování Stavebního výboru ZO Velichov,6,"ZO zřizuje Stavební výbor ZO Velichov ve složení: Miroslav Kučera, Albín Pavlis a Jan Škuthan.",
1010,1,2010-11-22,Projednání směrnice o cestovních náhradách,7,ZO schvaluje interní směrnici o cestovních náhradách a zásady pro poskytování cestovních náhrad členům ZO dle předložených návrhů.,
1011,1,2010-11-22,Schválení odměn uvolněným a neuvolněným členům ZO,8,"ZO schvaluje výši odměn neuvolněných členů ZO Velichov dle návrhu, který je přílohou č. 1 zápisu.",
1012,1,2010-11-22,Schválení odměn členům výborů – nečlenům ZO,9,"ZO schvaluje odměnu členům výborů, kteří nejsou členy ZO, ve výši 100 Kč/ hod.",
1013,1,2010-11-22,Informace o úhradě neinvestičních výdajů za žáky dojíždějící do ZŠ v Ostrově,10,ZO bere na vědomí úhradu částky 130 860 Kč za neinvestiční výdaje za žáky dojíždějící z Velichova do ZŠ v Ostrově.,
