vote_event_id,voter_id,option,group_id,
1001,2010-555703-1-904-3,absent,nk_party,
1001,2010-555703-1-901-5,yes,nk_party,
1001,2010-555703-1-901-4,yes,nk_party,
1001,2010-555703-1-902-1,yes,nk_party,
1001,2010-555703-1-901-3,yes,nk_party,
1001,2010-555703-1-901-1,yes,nk_party,
1001,2010-555703-1-904-6,yes,nk_party,
1001,2010-555703-1-904-4,yes,nk_party,
1001,2010-555703-1-901-2,yes,nk_party,
1002,2010-555703-1-904-3,absent,nk_party,
1002,2010-555703-1-901-5,yes,nk_party,
1002,2010-555703-1-901-4,yes,nk_party,
1002,2010-555703-1-902-1,yes,nk_party,
1002,2010-555703-1-901-3,yes,nk_party,
1002,2010-555703-1-901-1,yes,nk_party,
1002,2010-555703-1-904-6,yes,nk_party,
1002,2010-555703-1-904-4,yes,nk_party,
1002,2010-555703-1-901-2,yes,nk_party,
1003,2010-555703-1-904-3,absent,nk_party,
1003,2010-555703-1-901-5,yes,nk_party,
1003,2010-555703-1-901-4,yes,nk_party,
1003,2010-555703-1-902-1,yes,nk_party,
1003,2010-555703-1-901-3,yes,nk_party,
1003,2010-555703-1-901-1,yes,nk_party,
1003,2010-555703-1-904-6,yes,nk_party,
1003,2010-555703-1-904-4,yes,nk_party,
1003,2010-555703-1-901-2,yes,nk_party,
1004,2010-555703-1-904-3,absent,nk_party,
1004,2010-555703-1-901-5,yes,nk_party,
1004,2010-555703-1-901-4,yes,nk_party,
1004,2010-555703-1-902-1,yes,nk_party,
1004,2010-555703-1-901-3,yes,nk_party,
1004,2010-555703-1-901-1,yes,nk_party,
1004,2010-555703-1-904-6,yes,nk_party,
1004,2010-555703-1-904-4,yes,nk_party,
1004,2010-555703-1-901-2,yes,nk_party,
1005,2010-555703-1-904-3,absent,nk_party,
1005,2010-555703-1-901-5,yes,nk_party,
1005,2010-555703-1-901-4,yes,nk_party,
1005,2010-555703-1-902-1,yes,nk_party,
1005,2010-555703-1-901-3,yes,nk_party,
1005,2010-555703-1-901-1,yes,nk_party,
1005,2010-555703-1-904-6,yes,nk_party,
1005,2010-555703-1-904-4,yes,nk_party,
1005,2010-555703-1-901-2,yes,nk_party,
1006,2010-555703-1-904-3,absent,nk_party,
1006,2010-555703-1-901-5,yes,nk_party,
1006,2010-555703-1-901-4,yes,nk_party,
1006,2010-555703-1-902-1,yes,nk_party,
1006,2010-555703-1-901-3,yes,nk_party,
1006,2010-555703-1-901-1,yes,nk_party,
1006,2010-555703-1-904-6,yes,nk_party,
1006,2010-555703-1-904-4,yes,nk_party,
1006,2010-555703-1-901-2,yes,nk_party,
1007,2010-555703-1-904-3,absent,nk_party,
1007,2010-555703-1-901-5,yes,nk_party,
1007,2010-555703-1-901-4,yes,nk_party,
1007,2010-555703-1-902-1,yes,nk_party,
1007,2010-555703-1-901-3,yes,nk_party,
1007,2010-555703-1-901-1,yes,nk_party,
1007,2010-555703-1-904-6,yes,nk_party,
1007,2010-555703-1-904-4,yes,nk_party,
1007,2010-555703-1-901-2,yes,nk_party,
1008,2010-555703-1-904-3,absent,nk_party,
1008,2010-555703-1-901-5,yes,nk_party,
1008,2010-555703-1-901-4,yes,nk_party,
1008,2010-555703-1-902-1,yes,nk_party,
1008,2010-555703-1-901-3,yes,nk_party,
1008,2010-555703-1-901-1,yes,nk_party,
1008,2010-555703-1-904-6,yes,nk_party,
1008,2010-555703-1-904-4,yes,nk_party,
1008,2010-555703-1-901-2,yes,nk_party,
1009,2010-555703-1-904-3,absent,nk_party,
1009,2010-555703-1-901-5,yes,nk_party,
1009,2010-555703-1-901-4,yes,nk_party,
1009,2010-555703-1-902-1,yes,nk_party,
1009,2010-555703-1-901-3,yes,nk_party,
1009,2010-555703-1-901-1,yes,nk_party,
1009,2010-555703-1-904-6,yes,nk_party,
1009,2010-555703-1-904-4,yes,nk_party,
1009,2010-555703-1-901-2,yes,nk_party,
1010,2010-555703-1-904-3,absent,nk_party,
1010,2010-555703-1-901-5,yes,nk_party,
1010,2010-555703-1-901-4,yes,nk_party,
1010,2010-555703-1-902-1,yes,nk_party,
1010,2010-555703-1-901-3,yes,nk_party,
1010,2010-555703-1-901-1,yes,nk_party,
1010,2010-555703-1-904-6,yes,nk_party,
1010,2010-555703-1-904-4,yes,nk_party,
1010,2010-555703-1-901-2,yes,nk_party,
1011,2010-555703-1-904-3,absent,nk_party,
1011,2010-555703-1-901-5,yes,nk_party,
1011,2010-555703-1-901-4,yes,nk_party,
1011,2010-555703-1-902-1,yes,nk_party,
1011,2010-555703-1-901-3,yes,nk_party,
1011,2010-555703-1-901-1,yes,nk_party,
1011,2010-555703-1-904-6,yes,nk_party,
1011,2010-555703-1-904-4,yes,nk_party,
1011,2010-555703-1-901-2,yes,nk_party,
1012,2010-555703-1-904-3,absent,nk_party,
1012,2010-555703-1-901-5,yes,nk_party,
1012,2010-555703-1-901-4,yes,nk_party,
1012,2010-555703-1-902-1,yes,nk_party,
1012,2010-555703-1-901-3,yes,nk_party,
1012,2010-555703-1-901-1,yes,nk_party,
1012,2010-555703-1-904-6,yes,nk_party,
1012,2010-555703-1-904-4,yes,nk_party,
1012,2010-555703-1-901-2,yes,nk_party,
1013,2010-555703-1-904-3,absent,nk_party,
1013,2010-555703-1-901-5,yes,nk_party,
1013,2010-555703-1-901-4,yes,nk_party,
1013,2010-555703-1-902-1,yes,nk_party,
1013,2010-555703-1-901-3,yes,nk_party,
1013,2010-555703-1-901-1,yes,nk_party,
1013,2010-555703-1-904-6,yes,nk_party,
1013,2010-555703-1-904-4,yes,nk_party,
1013,2010-555703-1-901-2,yes,nk_party,
1014,2010-555703-1-904-3,absent,nk_party,
1014,2010-555703-1-901-5,yes,nk_party,
1014,2010-555703-1-901-4,yes,nk_party,
1014,2010-555703-1-902-1,yes,nk_party,
1014,2010-555703-1-901-3,yes,nk_party,
1014,2010-555703-1-901-1,yes,nk_party,
1014,2010-555703-1-904-6,yes,nk_party,
1014,2010-555703-1-904-4,yes,nk_party,
1014,2010-555703-1-901-2,yes,nk_party,
1015,2010-555703-1-904-3,absent,nk_party,
1015,2010-555703-1-901-5,yes,nk_party,
1015,2010-555703-1-901-4,yes,nk_party,
1015,2010-555703-1-902-1,yes,nk_party,
1015,2010-555703-1-901-3,yes,nk_party,
1015,2010-555703-1-901-1,yes,nk_party,
1015,2010-555703-1-904-6,yes,nk_party,
1015,2010-555703-1-904-4,yes,nk_party,
1015,2010-555703-1-901-2,yes,nk_party,
1016,2010-555703-1-904-3,absent,nk_party,
