id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-11-05,Určení ověřovatelů a zapisovatele,1,Zastupitelstvo obce Velké Přítočno určuje ověřovateli zápisu Alenu Haušildovou a Janu Vaňkovou a zapisovatelem Hanu Burgerovou.,
1002,1,2014-11-05,program,2,hlasování o programu,
1003,1,2014-11-05,Volba starosty a místostarosty,3,Zastupitelstvo obce Velké Přítočno schválilo zvolení jednoho místostarosty.,
1004,1,2014-11-05,Volba starosty a místostarosty,3,"Zastupitelstvo obce Velké Přítočno v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty obce bude člen zastupitelstva dlouhodobě uvolněn. ",
1005,1,2014-11-05,Volba starosty a místostarosty,3,Zastupitelstvo obce Velké Přítočno schvaluje veřejný způsob volby starosty a místostarosty postupem uvedeným předsedajícím.,
1006,1,2014-11-05,Volba starosty a místostarosty,3,Zastupitelstvo obce Velké Přítočno volí starostou Jana Burgera.,
1007,1,2014-11-05,Volba starosty a místostarosty,3,Zastupitelstvo obce Velké Přítočno volí místostarostou Stanislava Kratochvíla.,
1008,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Velké Přítočno zřizuje finanční výbor a kontrolní výbor. Oba výbory budou tříčlenné.,
1009,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Volba předsedy finančního výboru,
1010,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Velké Přítočno volí předsedou finančního výboru Radima Kvardu,
1011,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Velké Přítočno volí předsedou kontrolního výboru Jiřího Urbana.,
1012,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Velké Přítočno volí členy finančního výboru Janu Vaňkovou a Blanku Lansingerovou.,
1013,1,2014-11-05,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Velké Přítočno volí členy kontrolního výboru Markétu Kubíčkovou a Ludmilu Hujovou.,
