id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2010-11-27,Určení ověřovatelů zápisu a zapisovatele,0,Zastupitelstvo obce Vlkanov určilo ověřovateli zápisu Stanislava Stehlíka a Ladislava Jacáka a zapisovatelem Ivanu Jacákovou.,
1002,1,2010-11-27,Obecní Avie,1,Zastupitelstvo obce Vlkanov schválilo zrušení obecní Avie z důvodu jejího nevyužití v obci a vysokých finančních nákladů na její provoz.,
1003,1,2010-11-27,Různé,2,"Zastupitelstvo obce Vlkanov schválilo příspěvek ve výši 1.000,- Kč na mikulášskou nadílku.",
1004,1,2010-11-27,Různé,2,"Zastupitelstvo obce Vlkanov schválilo následující: 1. Vánoční soutěž ve střelbě ze vzduchovky se uskuteční 26.12.2010 od 13:00 hod. v prostorách hasičské klubovny. 2. Zajištění vánočních stromků pro občany obce z obecního lesa do 13.12.2010 na základě objednávky. Cena za 1 ks 30,- Kč. 3. Nákup silvestrovského ohňostroje do cca 5.000,- Kč.",
2001,2,2010-12-27,Určení ověřovatelů zápisu a zapisovatele,0,Zastupitelstvo obce volí ověřovateli zápisu a usnesení Josefa Sokola a Ivanu Jacákovou a zapisovatelem Zdeňka Doktora.,
2002,2,2010-12-27,Schválení programu,0,Zastupitelstvo obce schvaluje program jednání 3. zasedání zastupitelstva obce Vlkanov v navrženém znění.,
2003,2,2010-12-27,Rozpočet Obce Vlkanov na rok 2011,1,"Zastupitelstvo obce schvaluje rozpočet na rok 2011 jako vyrovnaný s příjmy ve výši 1.853.600,- Kč a výdaji ve výši 1.853.600,- Kč.",
2004,2,2010-12-27,"Rozpočtový výhled na roky 2012, 2013",2,"Zastupitelstvo obce schvaluje rozpočtový výhled na roky 2012, 2013 v předloženém znění.",
2005,2,2010-12-27,Rozpočtová změna č. 8,3,Zastupitelstvo obce schvaluje rozpočtovou změnu č. 8 v navrhovaném znění.,
2006,2,2010-12-27,Rozpočtová změna č. 9,4,Zastupitelstvo obce schvaluje rozpočtovou změnu č. 9 v navrhovaném znění.,
2007,2,2010-12-27,Veřejnoprávní smlouva s Městem Poběžovice,5,"Zastupitelstvo obce schvaluje uzavření veřejnoprávní smlouvy pro výkon přenesené působnosti na úseku přestupků s městem Poběžovice, za cenu 2.500,- Kč za jeden vyřízený přestupek.",
2008,2,2010-12-27,"Žádost o povolení prořezávky cesty – POZEP, s. r. o.",6,"Zastupitelstvo obce souhlasí s povolením prořezávky náletů kolem cesty na parcele 863/2 – PZE a 863/3 – PKN. za podmínky, že firma POZEP, s. r. o., provede prořezávku v době vegetačního klidu a na své náklady včetně likvidace odpadu.",
2009,2,2010-12-27,Obsazení místa účetní obecního úřadu Vlkanov,7,"Zastupitelstvo obce jmenuje výběrovou komisi na výběr účetní obecního úřadu ve složení Zdeněk Doktor, bytem Vlkanov – předseda komise, Ivana Jacáková, bytem Vlkanov 75 a Jan Doktor, bytem Šandova 275, Poběžovice – členové. Zastupitelstvo obce pověřuje starostu obce uzavřením pracovní smlouvy na funkci účetní obecního úřadu s uchazečkou doporučenou výběrovou komisí.",
3001,3,2011-02-26,Určeni ověřovatelů zápisu a zapisovatele,0,Zastupitelstvo obce volí ověřovatele zápisu a usnesení p. Stehlíka Stanislava a Zdeňka Doktora.,
3002,3,2011-02-26,Schválení programu,0,Zastupitelstvo obce schvaluje program jednání 4. zasedání zastupitelstva obce Vlkanov v navrženém znění.,
3003,3,2011-02-26,návrh rozpočtového opatření č. 1,1,Zastupitelstvo obce schvaluje navržené rozpočtové opatření č.1.,
3004,3,2011-02-26,projednat ukončení nájemní smlouvy na obecní byt č. 2 - nájemce Anderle Martin,3,"Zastupitelstvo obce schvaluje uzavřít s p. Anderlem Martinem novou nájemní smlouvu pouze v případě, že uhradí nejpozději do 31.3.2011 dluh na nájemném.",
3005,3,2011-02-26,projednat smlouvu o bezúplatném převodu nemovitosti - parcela PK č. 789/1,4,Zastupitelstvo obce schvaluje smlouvu o bezúplatném převodu nemovitosti č. parc. 789/1 v k.ú. Vlkanov s Úřadem pro zastupování státu ve věcech majetkových.,
3006,3,2011-02-26,projednat žádost p. Šimánkové Aleny o vyřešení dopravní situace na místní komunikaci vedené po parcele 802/1 v k.ú. Vlkanov,5,Zastupitelstvo obce schvaluje návrh starosty jednat přímo s jednatelem firmy POZEP s.r.o. a dohodnout konkrétní podmínky užívání místní komunikace vedené po parcele 802/1 v k.ú. Vlkanov včetně ze strany firmy Pozep zajištění pravidelného a účinného úklidu jimi znečištěné komunikace a omezení provozu na této komunikaci. Obecní zastupitelstvo zároveň tímto jednáním pověřuje starostu obce p. Doktora.,
3007,3,2011-02-26,projednáni zajištění prouramu k oslavám 630. let obce: informace o podáni žádosti o poskytnuti dotace na tuto akci,6,"Zastupitelstvo obce souhlasí s návrhem, aby do příštího zasedáni OZ měl každý zastupitel připraven konkrétní návrh k realizaci a zajištění oslav k 650. výročí založení obce Vlkanov.",
4001,4,2011-04-02,Určení ověřovatelů zápisu a zapisovatele,0,Zastupitelstvo obce volí ověřovatele zápisu a usnesení p Sokola Josefa a pana Jacáka Ladislava.,
4002,4,2011-04-02,Schválení programu,0,Zastupitelstvo obce schvaluje program jednání 5. zasedání zastupitelstva obce Vlkanov v navrženém znění.,
4003,4,2011-04-02,projednat v případě uvolnění obecního bytu možnosti obsazení novým nájemcem,4,"Obecní zastupitelstvo obce schvaluje termín vyklizení bytu a předání bytu č. 2 v domě čp. 24 p. Martinem Anderlem nejpozději do 20.4.2011: V případě, že tak neučiní, bude mu účtováno i nadále nájemné až do doby vyklizení a předání bytu.",
4004,4,2011-04-02,projednat v případě uvolnění obecního bytu možnosti obsazení novým nájemcem,4,"Obecní zastupitelstvo schvaluje, že v případě, že p. Martin Anderle neuhradí dlužné nájemné ve výši Kč 25.300,- do 20.4.2011 ani s obcí neuzavře dohodu o uznání dluhu a splátkový kalendář na dlužnou částku, bude po něm tato částka včetně penále z prodlení vymáhána občansko - právní cestou.",
4005,4,2011-04-02,projednat v případě uvolnění obecního bytu možnosti obsazení novým nájemcem,4,Obecní Zastupitelstvo schvaluje přidělení bytu sl. Bohmové Veronice a to od května 2011 na dobu určitou jednoho roku.,
4006,4,2011-04-02,projednat návrh územního plánu; příp. návrhy změn územního plánu,6,Obecní zastupitelstvo schvaluje pořízení nového územního plánu platného od roku 2015.,
4007,4,2011-04-02,projednat návrh územního plánu; příp. návrhy změn územního plánu,6,Obecni Zastupitelstvo pověřuje zastupováním obce Vlkanov ve věci pořízení nového územního plánu starostu obce p. Doktora Jana.,
4008,4,2011-04-02,návrh starosty na možnost pronájmu spodního rybníka: v případě souhlasu OZ upřesnit podmínky nájemní smlouvy,8,Obecní zastupitelstvo schvaluje nabídnout spodní rybník k pronájmu za účelem chovu ryb.,
4009,4,2011-04-02,návrh starosty na možnost pronájmu spodního rybníka: v případě souhlasu OZ upřesnit podmínky nájemní smlouvy,8,Obecní zastupitelstvo schvaluje osazení rybníka novým čapem - předpokládána částka vydajů Kč 6-7 tis Kč a zároveň ukládá starostovi oslovit firmu na výrobu čapu.,
4010,4,2011-04-02,seznámení s možností bezúplatného převodu vozu AVIA Furgon pro potřeby SDH,9,"Obecní zastupitelstvo schvaluje bezúplatný převod požárního vozidla AVIA 21 Furgon BSB 57-68, r.v. 1988  od Hasičského záchranného sboru Jihomoravského kraje a pověřuje starostu podpisem příslušné smlouvy.",
4011,4,2011-04-02,různé,11,Obecní  zasupitelstvo schvaluje poražení smrku na návsi u autobusové zastávky z důvodu rizika pádu,
4012,4,2011-04-02,různé,11,Obecni zastupitelstvo schvaluje poražení topolu v blízkosti dětského hřiště v případě souhlasu vyplývající z posudku odborné firmy.,
5001,5,2011-04-28,Určení ověřovatelů zápisu a zapisovatele,0,Obecní Zastupitelstvo volí ověřovatele zápisu a usnesení p Zdeňka Doktora a pana Stanislava Stehlíka.,
5002,5,2011-04-28,Schválení programu,0,Zastupitelstvo obce schvaluje program jednání 6. zasedání zastupitelstva obce Vlkanov v navrženém znění včetně návrhu místostarostky p. Jacákové.,
5003,5,2011-04-28,návrhy na vyřazení majetku,2,"Zastupitelstvo obce schvaluje vyřazení 1 ks popelnice v PC Kč 900,-.",
5004,5,2011-04-28,návrhy na vyřazení majetku,2,"Zastupitelstvo obce schvaluje vyřazení 2 ks kontejnerů na odpad v celkové hodnotě Kč 38000,- a 1 ks mobilní telefon v hodnotě Kč 21761,40.",
5005,5,2011-04-28,rozpočtové opatření č.3,4,Obecní zastupitelstvo schvaluje navržené rozpočtové opatření č. 3.,
5006,5,2011-04-28,výběz z nabídek na koupi zahradního malotraktoru na údržbu veřejných prostranství,5,"Obecní zastupitelstvo schvaluje koupi travního traktoru zn. Husqvarna CTH 163 T včetně vozíku a radlice za nabídkovou cenu Kč 100900,-",
5007,5,2011-04-28,ukončení nájemní smlouvy na obchod ze strany nájemce k 30.4.2011,6,Obecní zastupitelstvo schvaluje zveřejnit záměr o pronájmu nebytových prostor v domě čp. 24 za účelem provozování obchodu se smíšeným zboží a nabídnout tento prostor formou inzerce i v regionálním tisku.,
