vote_event_id,voter_id,option,group_id,
1001,2014-566926-1-53-5,yes,ods_party,
1001,2014-566926-1-47-4,yes,kscm_party,
1001,2014-566926-1-47-3,yes,kscm_party,
1001,2014-566926-1-53-2,yes,ods_party,
1001,2014-566926-1-53-1,yes,ods_party,
1002,2014-566926-1-53-5,yes,ods_party,
1002,2014-566926-1-47-4,yes,kscm_party,
1002,2014-566926-1-47-3,yes,kscm_party,
1002,2014-566926-1-53-2,yes,ods_party,
1002,2014-566926-1-53-1,yes,ods_party,
1003,2014-566926-1-53-5,yes,ods_party,
1003,2014-566926-1-47-4,yes,kscm_party,
1003,2014-566926-1-47-3,yes,kscm_party,
1003,2014-566926-1-53-2,yes,ods_party,
1003,2014-566926-1-53-1,yes,ods_party,
1004,2014-566926-1-53-5,yes,ods_party,
1004,2014-566926-1-47-4,yes,kscm_party,
1004,2014-566926-1-47-3,yes,kscm_party,
1004,2014-566926-1-53-2,yes,ods_party,
1004,2014-566926-1-53-1,yes,ods_party,
1005,2014-566926-1-53-5,yes,ods_party,
1005,2014-566926-1-47-4,yes,kscm_party,
1005,2014-566926-1-47-3,yes,kscm_party,
1005,2014-566926-1-53-2,yes,ods_party,
1005,2014-566926-1-53-1,yes,ods_party,
1006,2014-566926-1-53-5,yes,ods_party,
1006,2014-566926-1-47-4,yes,kscm_party,
1006,2014-566926-1-47-3,yes,kscm_party,
1006,2014-566926-1-53-2,yes,ods_party,
1006,2014-566926-1-53-1,yes,ods_party,
1007,2014-566926-1-53-5,yes,ods_party,
1007,2014-566926-1-47-4,yes,kscm_party,
1007,2014-566926-1-47-3,yes,kscm_party,
1007,2014-566926-1-53-2,yes,ods_party,
1007,2014-566926-1-53-1,yes,ods_party,
1008,2014-566926-1-53-5,yes,ods_party,
1008,2014-566926-1-47-4,yes,kscm_party,
1008,2014-566926-1-47-3,yes,kscm_party,
1008,2014-566926-1-53-2,yes,ods_party,
1008,2014-566926-1-53-1,yes,ods_party,
1009,2014-566926-1-53-5,yes,ods_party,
1009,2014-566926-1-47-4,no,kscm_party,
1009,2014-566926-1-47-3,yes,kscm_party,
1009,2014-566926-1-53-2,yes,ods_party,
1009,2014-566926-1-53-1,yes,ods_party,
1010,2014-566926-1-53-5,abstain,ods_party,
1010,2014-566926-1-47-4,yes,kscm_party,
1010,2014-566926-1-47-3,yes,kscm_party,
1010,2014-566926-1-53-2,yes,ods_party,
1010,2014-566926-1-53-1,yes,ods_party,
1011,2014-566926-1-53-5,yes,ods_party,
1011,2014-566926-1-47-4,yes,kscm_party,
1011,2014-566926-1-47-3,abstain,kscm_party,
1011,2014-566926-1-53-2,yes,ods_party,
1011,2014-566926-1-53-1,yes,ods_party,
1012,2014-566926-1-53-5,yes,ods_party,
1012,2014-566926-1-47-4,yes,kscm_party,
1012,2014-566926-1-47-3,yes,kscm_party,
1012,2014-566926-1-53-2,yes,ods_party,
1012,2014-566926-1-53-1,yes,ods_party,
1013,2014-566926-1-53-5,yes,ods_party,
1013,2014-566926-1-47-4,yes,kscm_party,
1013,2014-566926-1-47-3,yes,kscm_party,
1013,2014-566926-1-53-2,yes,ods_party,
1013,2014-566926-1-53-1,yes,ods_party,
2001,2014-566926-1-53-5,yes,ods_party,
2001,2014-566926-1-47-4,yes,kscm_party,
2001,2014-566926-1-47-3,yes,kscm_party,
2001,2014-566926-1-53-2,yes,ods_party,
2001,2014-566926-1-53-1,yes,ods_party,
2002,2014-566926-1-53-5,yes,ods_party,
2002,2014-566926-1-47-4,yes,kscm_party,
2002,2014-566926-1-47-3,yes,kscm_party,
2002,2014-566926-1-53-2,yes,ods_party,
2002,2014-566926-1-53-1,yes,ods_party,
2003,2014-566926-1-53-5,yes,ods_party,
2003,2014-566926-1-47-4,yes,kscm_party,
2003,2014-566926-1-47-3,yes,kscm_party,
2003,2014-566926-1-53-2,yes,ods_party,
2003,2014-566926-1-53-1,yes,ods_party,
2004,2014-566926-1-53-5,yes,ods_party,
2004,2014-566926-1-47-4,yes,kscm_party,
2004,2014-566926-1-47-3,yes,kscm_party,
2004,2014-566926-1-53-2,yes,ods_party,
2004,2014-566926-1-53-1,yes,ods_party,
2005,2014-566926-1-53-5,yes,ods_party,
2005,2014-566926-1-47-4,yes,kscm_party,
2005,2014-566926-1-47-3,yes,kscm_party,
2005,2014-566926-1-53-2,yes,ods_party,
2005,2014-566926-1-53-1,yes,ods_party,
2006,2014-566926-1-53-5,yes,ods_party,
2006,2014-566926-1-47-4,yes,kscm_party,
2006,2014-566926-1-47-3,yes,kscm_party,
2006,2014-566926-1-53-2,yes,ods_party,
2006,2014-566926-1-53-1,yes,ods_party,
2007,2014-566926-1-53-5,yes,ods_party,
2007,2014-566926-1-47-4,yes,kscm_party,
2007,2014-566926-1-47-3,yes,kscm_party,
2007,2014-566926-1-53-2,yes,ods_party,
2007,2014-566926-1-53-1,yes,ods_party,
2008,2014-566926-1-53-5,yes,ods_party,
2008,2014-566926-1-47-4,yes,kscm_party,
2008,2014-566926-1-47-3,yes,kscm_party,
2008,2014-566926-1-53-2,yes,ods_party,
2008,2014-566926-1-53-1,yes,ods_party,
2009,2014-566926-1-53-5,yes,ods_party,
2009,2014-566926-1-47-4,yes,kscm_party,
2009,2014-566926-1-47-3,yes,kscm_party,
2009,2014-566926-1-53-2,yes,ods_party,
2009,2014-566926-1-53-1,yes,ods_party,
2010,2014-566926-1-53-5,yes,ods_party,
2010,2014-566926-1-47-4,yes,kscm_party,
2010,2014-566926-1-47-3,yes,kscm_party,
2010,2014-566926-1-53-2,yes,ods_party,
2010,2014-566926-1-53-1,yes,ods_party,
2011,2014-566926-1-53-5,yes,ods_party,
2011,2014-566926-1-47-4,yes,kscm_party,
2011,2014-566926-1-47-3,yes,kscm_party,
2011,2014-566926-1-53-2,yes,ods_party,
2011,2014-566926-1-53-1,yes,ods_party,
2012,2014-566926-1-53-5,yes,ods_party,
2012,2014-566926-1-47-4,yes,kscm_party,
2012,2014-566926-1-47-3,yes,kscm_party,
2012,2014-566926-1-53-2,yes,ods_party,
2012,2014-566926-1-53-1,yes,ods_party,
2013,2014-566926-1-53-5,yes,ods_party,
2013,2014-566926-1-47-4,yes,kscm_party,
2013,2014-566926-1-47-3,yes,kscm_party,
2013,2014-566926-1-53-2,yes,ods_party,
2013,2014-566926-1-53-1,yes,ods_party,
3001,2014-566926-1-53-5,yes,ods_party,
3001,2014-566926-1-47-4,yes,kscm_party,
3001,2014-566926-1-47-3,yes,kscm_party,
3001,2014-566926-1-53-2,yes,ods_party,
3001,2014-566926-1-53-1,yes,ods_party,
3002,2014-566926-1-53-5,yes,ods_party,
3002,2014-566926-1-47-4,yes,kscm_party,
3002,2014-566926-1-47-3,yes,kscm_party,
3002,2014-566926-1-53-2,yes,ods_party,
3002,2014-566926-1-53-1,yes,ods_party,
4001,2014-566926-1-53-5,yes,ods_party,
4001,2014-566926-1-47-4,yes,kscm_party,
4001,2014-566926-1-47-3,yes,kscm_party,
4001,2014-566926-1-53-2,yes,ods_party,
4001,2014-566926-1-53-1,yes,ods_party,
4002,2014-566926-1-53-5,yes,ods_party,
4002,2014-566926-1-47-4,yes,kscm_party,
4002,2014-566926-1-47-3,yes,kscm_party,
4002,2014-566926-1-53-2,yes,ods_party,
4002,2014-566926-1-53-1,yes,ods_party,
4003,2014-566926-1-53-5,yes,ods_party,
4003,2014-566926-1-47-4,yes,kscm_party,
4003,2014-566926-1-47-3,yes,kscm_party,
