id,name,organization:party,organization:affiliation,organization:list,
2014-566934-1-902-6,Hvězdová Vladimíra,nk_party,bezpp_affiliation,902_list,
2014-566934-1-903-5,Kodera Zdeněk,nk_party,bezpp_affiliation,903_list,
2014-566934-1-903-1,Kubelka Jaromír,nk_party,bezpp_affiliation,903_list,
2014-566934-1-903-3,Kukla Ervín,nk_party,bezpp_affiliation,903_list,
2014-566934-1-47-3,Mlejnek Jaroslav,kscm_party,bezpp_affiliation,47_list,
2014-566934-1-903-2,Narovec Jan,nk_party,bezpp_affiliation,903_list,
2014-566934-1-905-2,Šácha Antonín,nk_party,bezpp_affiliation,905_list,
2014-566934-1-903-4,Šáchová Kateřina Mgr.,nk_party,bezpp_affiliation,903_list,
2014-566934-1-907-1,Šebesta David Bc.,nk_party,bezpp_affiliation,907_list,
2014-566934-1-904-2,Tempel Petr,nk_party,bezpp_affiliation,904_list,
2014-566934-1-901-1,Vítek Vlastimil,nk_party,bezpp_affiliation,901_list,
