id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-12-22,"Zahájení, určení zapisovatele, jmenování ověřovatelů zápisu, schválení programu",1,"Zastupitelstvo obce schvaluje program zasedání, ověřovateli zápisu určuje pí. Ing. JanuMedkovou a p. Kamila Králika, zapisovatelem p. Pavla Vejmana.",
1002,1,2014-12-22,Projednání a schválení rozpočtového provizoria na rok 2015,3,"Zastupitelstvo obce schvaluje rozpočtové provizorium na rok 2015, dle přílohy.",
1003,1,2014-12-22,Žádost o dotaci na výstavbu VIII. etapy chodníků ze SFDI,4,Zastupitelstvo obce schvaluje podání Žádosti o poskytnutí finanční podpory z SFDI na projekt „Stavba VIII. etapy zpevněných chodníků v obci Výrava podél silnice II/299“.,
1004,1,2014-12-22,Poplatky za komunální odpad v roce 2015,5,"Zastupitelstvo obce schvaluje poplatek za komunální odpad na rok 2015, dle přílohy zápisu.",
1005,1,2014-12-22,Hospodaření obce,6,Zastupitelstvo obce schvaluje rozpočtová opatření RO č. 42 - 50,
2001,2,2015-01-26,"Zahájení, určení zapisovatele, jmenování ověřovatelů zápisu, schválení programu",1,"Zastupitelstvo obce schvaluje program zasedání ZO, za ověřovatele určuje pí. Mgr. Jitku Hrubou a p. Vladimíra Panenku, zapisovatelem p. Pavla Vejmana.",
2002,2,2015-01-26,Přepracování projektové dokumentace na akci 'Obnova vodní nádrže před čp. 53',3,Zastupitelstvo obce schvaluje návrh přepracovat projektovou dokumetaci na akci 'Obnova vodní nádrže před čp. 53 v obci Výrava'. Zastupitelstvo obce pověřuje starostu objednáním zpracování projektové dokumentace pro stavební řízení a realizaci stavby na uvedenou akci u firmy Agroprojekce Litomyšl spol. s. r. o. dle předložené cenové nabídky.,
2003,2,2015-01-26,Hospodaření obce,4,Zastupitelstvo obce schvaluje rozpočtová púatření č. 51.,
2004,2,2015-01-26,Pronájem rybníka 'Ve Vrbičkách' - uzavření Dodatku č. 1,6,Zastupitelstvo obce schvaluje uzavření Dodatku č. 1 ke Smlouvě o nájmu vodní plochy rybníku 'Ve Vrbičkách'.,
3001,3,2015-03-11,"Zahájení, určení zapisovatele, jmenování ověřovatelů zápisu, schválení programu",1,"Zastupitelstvo obce schvaluje program zasedání ZO, za ověřovatele zápisu určuje Ing. JanuMedkovou a Pavla Vejmana, zapisovatelem Michala Konečného.",
3002,3,2015-03-11,Údržba zeleně v průtahu obce,4,"Zastupitelstvo obce schvaluje záměr prořezání stromů v průtahu obce v rozsahu provedené poptávky. Zastupitelstvo obce schvaluje objednání dodávky prací u firmy Josef Máslo - GREEN SERVIS v rozsahu předložené nabídky v ceně 48 800,- Kč bez DPH",
3003,3,2015-03-11,Zařazení investičních akcí do návrhu rozpočtu 2015 a do rozpočtového výhledu,5,Zastupitelstvo obce schvaluje zařadit záměr zřízení ploch pod kontejnery na území obce do rozpočtu 2015.,
