id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-10-30,"Schválení programu a zápisu, určení ověřovatelů zápisu ",2,"Zastupitelstvo obce Vysoká nad Labem po projednáníschvaluje program dnešního zasedáníurčuje ověřovatele zápisu - Františka Salavce, MUDr. Ladislavu Harrerovou a zapisovatele - paní VěruPipkovou ",
1002,1,2014-10-30,Volba starosty a místostarosty,3,"Zastupitelstvo obce Vysoká nad Labem po projednání v souladu s § 84 odst. 2 písm. k) zákona o obcích určuje, že pro výkon funkce starosty bude člen zastupitesltva dlouhodobě uvolněn.",
1003,1,2014-10-30,Volba starosty a místostarosty,3,"Zastupitelstvo obce Vysoká nad Labem po projednání volí starostou  obce Vysoká nad Labem Ing. Jiřího Horáka, nar. 19.4.1963, bytem Vysoká nad Labem č. 52.",
1004,1,2014-10-30,Volba starosty a místostarosty,3,"Zastupitelstvo obce Vysoká nad Labem po projednání volí místostarostou obce Vysoká nad Labem pana Františka Salavce, nr. 29.1.1947, bytem Vysoká nad Labem 194",
1005,1,2014-10-30,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Vysoká nad Labem po projednání zřizuje finanční výbor a kontrolní výbor. Oba výbory budou tříčlenné.,
1006,1,2014-10-30,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Vysoká nad Labem po projednání volí předsedou finančního výboru Ing. Karla Dohnala.,
1007,1,2014-10-30,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Vysoká nad Labem po projednání volí předsedou kontrolního výboru Mgr. Pavlu Mazánkovou.,
1008,1,2014-10-30,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Vysoká nad Labem po projednánívolí členy finančního výboru Mgr Pavlínu Mazánkovou a Mgr. Miloslava Rysku,
1009,1,2014-10-30,Zřízení finančního a kontrolního výboru,4,Zastupitelstvo obce Vysoká nad Labem po projednání volí členy kontrolního výboru: Ing. Karla Dohnala a Mgr. Miloslava Rysku,
1010,1,2014-10-30,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,5,"Zastupitelstvo obce Vysoká nad Labem po projednánív souladu s § 72 a § 84 odst. 2 písm. n) zákona o obcích stanoví odměnu za výkon funkce neuvolněnéhočlena zastupitelstva obce dle nařízeni vlády č. 37/2003 Sb., o odměnách za výkon funkce členůmzastupitelstev, v platném znění - tabulka č.l.Odměna bude poskytována od 1.11.2014. V případě nastoupení náhradníka na uvolněný mandát budeposkytována ode dne složení slibu. V případě personální změny na postu předsedy či člena výboru budeodměna poskytována ode dne zvolení do funkce. ",
1011,1,2014-10-30,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednáníStanovuje termíny zasedání pro konec roku 2014 a pro rok 2015 dle tabulky č.2, která je součástí tohotozápisu. ",
1012,1,2014-10-30,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednánívolí pětičlenný stavební výbor v následujícím složení:Předseda: Ing. Jiří HorákČlenové: MUDr. Jindřich Samek, František Salavec, Ing. Martin Kolomý, Michal Hrůša ",
1013,1,2014-10-30,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednáníSchvaluje uzavření Dodatku č.2 ke Smlouvě o dílo uzavřené dne 24. 1. 2014 na zhotovení díla v souvislostis veřejnou zakázkou s názvem: Stavební práce pro sportovní areál Vysoká nad Labem, II etapa, SO 07Multifunkční sportovní hala - novostavba, dle přílohy tohoto zápisu.",
1014,1,2014-10-30,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednáníSchvaluje darovací smlouvu uzavřenou mezi Obcí Vysoká nad Labem a Elektrárny Opatovice, a.s., načástku 125 tisíc korun, dle přílohy tohoto zápisu. ",
1015,1,2014-10-30,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednáníSchvaluje jednací řád zastupitelstva, dle přílohy tohoto zápisu. ",
1016,1,2014-10-30,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednánívolí tříčlenný kulturní výbor v následujícím složení:Předseda: MUDr. Ladislava HarrerováČlenové: Mgr. Pavlína Mazánková, Miloslava Marečková ",
2001,2,2014-11-10,"Zahájení, schválení zápisu z minulého zasedání",1,Zastupitelstvo obce Vysoká nad Labem po projednání schvaluje zápis z minulého zasedání č. 11/2014 ze dne 30.10.2014.,
2002,2,2014-11-10,"Schválení programu, určení ověřovatel zápisu.",1,"Zastupitelstvo obce Vysoká nad Labem po projednáníschvaluje program dnešního zasedání určuje ověřovatele zápisu - Ing. Karel Dohnal, Mgr. Miloslav Ryska",
2003,2,2014-11-10,Návrh rozpočtu na rok 2015 a rozpočtového výhledu na roky 2016 a 2017,2,"Zastupitelstvo obce Vysoká nad Labem po projednáníSchvaluje předložený návrh rozpočtu 2015 dle přílohy tohoto zápisu. Rozpočet bude vyrovnaný, s příjmy a výdaji ve výši 31.091 tisíc korun. Pověřuje starostu zveřejněním dle zákona tak, aby finální rozpočet mohl být projednán na příštím zasedání zastupitelstva.",
2004,2,2014-11-10,Žádost Biskupského gymnázia Bohuslava Balbína HK o poskytnutí neinvestičních prostředk na žáky s trvalým pobytem ve Vysoké nad Labem.,3,"Zastupitelstvo obce Vysoká nad Labem po projednání Schvaluje poskytnutí neinvestičních prostředk pro žáky Biskupského gymnázia Bohuslava Balbína HK s trvalým pobytem ve Vysoké nad Labem, ve výši 5 000 K na žáka, na rok 2014.",
2005,2,2014-11-10,Žádost Oblastní charity Hradec Králové o finanční příspěvek na úhradu náklad v souvislosti sklienty z Vysoké nad Labem,4,"Zastupitelstvo obce Vysoká nad Labem po projednání Schvaluje poskytnutí finančního příspěvku pro Oblastní Charitu Hradec Králové, ve výši 10 000 Kč.",
2006,2,2014-11-10,Smlouva s Knihovnou mčsta Hradec Králové o finančním příspěvku na nákup knih,5,"Zastupitelstvo obce Vysoká nad Labem po projednámSchvaluje poskytnutí finančního příspěvku pro Knihovnu Města Hradce Králové, ve výši 10 000 Kč. Schvaluje uzavření smlouvy o poskytnutí finančního příspěvku pro Knihovnu Města HK, dle přílohy tohoto zápisu.",
2007,2,2014-11-10,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednáníSchvaluje poskytnutí mimořádného finančního příspěvku pro MŠ Vysoká nad Labem, ve výši 75.357 korun, na úhradu neinvestičních náklad na stravování za měsíce leden - září 2014.",
2008,2,2014-11-10,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednání nesouhlasí s tím, aby obec Vysoká nad Labem odkoupila starou obecní stříkačku (po celkové rekonstrukci) odSDH Bohdašín za nabídnutou cenu 650 tisíc korun. rozhoduje, že podané odvolání bude částečně vzato zpět co do výroku č. I. a III. s ohledem na hrozící vysoké náklady soudního sporu. Obec Vysoká nad Labem bude akceptovat rozsudek co do výroku č. I. a III. - zamítnutí žaloby o vydání stříkačky. Odvolání bude směřovat pouze proti úhrad náklad řízení žalovanému, tedy co do výroku II.",
2009,2,2014-11-10,Různé,6,Zastupitelstvo obce Vysoká nad Labem po projednání Schvaluje rozpočtové opatření č. 7/2014 dle tohoto zápisu,
2010,2,2014-11-10,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednánívyhlašuje záměr uzavřít Dodatek č. 1 k nájemní smlouv uzavřené mezi Obcí Vysoká nad Labem a paní Miroslavou Danihelkovou, ve kterém bude upravena výše nájemného pro rok 2015. Samotný Dodatek č. 1 bude schválen po uplynutí předepsané lhůty pro vyvěšení.",
2011,2,2014-11-10,Různé,6,"Zastupitelstvo obce Vysoká nad Labem po projednání vyhlašuje záměr uzavřít Dodatek č. 2 k Nájemní smlouv pro Penzion Hubert ze dne 4.9.2000, ve kterém bude upravena výše nájemného pro rok 2015. Samotný Dodatek č.2 bude schválen po uplynutí předepsané lhůty pro vyvěšení. Podmínkou je úhrada nájemného za rok 2014 ve výši dle původní smlouvy.",
3001,3,2014-12-01,"Zahájení, schválení zápisu z minulého zasedání",1,Zastupitelstvo obce Vysoká nad Labem po projednáníschvaluje zápis z minulého zasedání č. 12/2014 ze dne 10.11.2014,
3002,3,2014-12-01,"Schválení programu, určení ověřovatel zápisu.",1,"Zastupitelstvo obce Vysoká nad Labem po projednáníschvaluje program dnešního zasedání určuje ověřovatele zápisu: František Salavec, MUDr. Ladislava Harrerová",
3003,3,2014-12-01,Návrh rozpočtu na rok 2015 a rozpočtového výhledu na roky 2016 a 2017,2,"Zastupitelstvo obce Vysoká nad Labem po projednáníSchvaluje rozpočet obce Vysoká nad Labem pro rok 2015, v paragrafovém znění, dle přílohy tohoto zápisu. Rozpočet pro rok 2015 bude vyrovnaný, s výdaji ve výši 31 091 tis. korun a příjmy ve výši 31 091 tis. korun Bere na vědomí rozpočtový výhled na roky 2016 a 2017, dle přílohy tohoto zápisu.",
3004,3,2014-12-01,Rozpočtové opatření č. 8/2014,3,Zastupitelstvo obce Vysoká nad Labem po projednání Schvaluje rozpočtové opatření č.8/2014 dle tohoto zápisu.,
3005,3,2014-12-01,Dohoda o vytvoření společného školského obvodu pro ZŠ Štefánikova,4,"Zastupitelstvo obce Vysoká nad Labem po projednáníNesouhlasí s uzavřením Dohody o vytvoření společného školského obvodu pro ZŠ Štefánikova, dle přílohy tohoto zápisu, z důvodu vysokých finančních požadavk ze strany Statutárního města Hradce Králové.",
3006,3,2014-12-01,Dodatek k nájemní smlouvě č. 1-2014 o pronájmu občerstvení,5,"Zastupitelstvo obce Vysoká nad Labem po projednání schvaluje Dodatek č. 1 k Nájemní  smlouvě č. 1-2014 o pronájmu občerstvení u rozhledny, uzavřené mezi Obcí Vysoká nad Labem a paní Miroslavou Danihelkovou, dle přílohy zápisu. Nájemné bude činit 10 tisíc korun ročně, s platností od 1.1.2015",
3007,3,2014-12-01,Různé,8,"Zastupitelstvo obce Vysoká nad Labem po projednání stanovuje částku za llikvidaci komunálního odpadu na rok 2015 na 380 korun na občana a rok, děti do 15 let a senioži nad 70 let polovic.",
3008,3,2014-12-01,Různé,8,"Zastupitelstvo obce Vysoká nad Labem po projednáníSchvaluje poskytnutí peněžitého daru dle §85 zákona č. 128/2000 Sb., o obcích pro Ing. Jiřího Horáka,starostu obce, za práci pro obec nad rámec běžných povinností, zejména za dokončení a výbornou propagacirozhledny Milíř (získala ocenění v soutěži Stavba roku Královéhradeckého kraje), ve výši jedné měsíčníodměny dle Nařízení vlády č. 37/2003 Sb. ",
4001,4,2015-01-12,"Zahájení, schválení zápisu z minulého zasedání",1,Zastupitelstvo obce Vysoká nad Labem po projednání schvaluje zápis z minuléhp zasedání č. 13/2014 ze dne 1.12.2014,
4002,4,2015-01-12,"Schválení programu, určení ověřovatel zápisu.",1,"Zastupitelstvo obce Vysoká nad Labem po projednání schvaluje program dnešního zasedání, určuje ověřovatele zápisu: Mgr. Pavlína Mazánková",
4003,4,2015-01-12,Rozpočtové opatření č. 9/2014 a 1/2015,2,Zastupitelstvo obce Vysoká nad Labem po projednání schvaluje rozpočtové opatření č. 9/2014 dle tohoto zápisu,
4004,4,2015-01-12,Rozpočtové opatření č. 9/2014 a 1/2016,2,Zastupitelstvo obce Vysoká nad Labem po projednáníschvaluje rozpočtové opatření č. 1/2015 dle tohoto zápisu ,
4005,4,2015-01-12,"Záměr převodu vlastnického práva nemovitého infrastrukturního majetku „Prodloužení vodovodu Vysoká nad Labem' (investor Vojtěch Rybišar) do vlastnictví společnosti Vodovody a kanalizace Hradec Králové, a.s.",3,"Zastupitelstvo obce Vysoká nad Labem po projednání souhlasí s převodem vlastnického práva nemovitého infrastrukturního majetku 'Prodloužení vodovodu Vysoká nad Labem' (investor Vojtěch Rybišar) do vlastnictví společnosti Vodovody a kanalizace Hradec Králové, a. s. Pověřuje starostu vyhlášením záměru dle zákona 128/2000 Sb., o obcích",
4006,4,2015-01-12,"Smlouva o bezúplatném převodu majetku pro pozemek 1026/1 v k. ú. Vysoká nad Labem o výměře 15 m2, z vlastnictví ČR - Úřad pro zastupování státu do vlastnictví Obce Vysoká nad Labem",4,"Zastupitelstvo obce Vysoká nad Labem po projednání souhlasí s uzavřením Smlouvy o bezúplatném převodu majetku (pozemek parc. Č. 1026/1 v k.ú. Vysoká nad Labem) uzavřené mezi Českou republikou - Úřadem pro zastupování státu a Obcí Vysoká nad Labem, dle přílohy tohoto zápisu.",
4007,4,2015-01-12,"Smlouva o prodeji pozemku parc. č. 1301/69, 70, 71, 72, 1541 a 1452 v k. ú. Vysoká nad Labem o celkové výměře 199 m2.",5,"Zastupitelstvo obce Vysoká nad Labem po projednání souhlasí s uzavřením s Smlouvy o prodeji pozemků parc. č. 1301/69, 70, 71, 72, 1541 a 1452 v k. ú. Vysoká nad Labem o celkové výměře 199 m2, za celkovou cenu 3980 korun dle přílohy tohoto zápisu.",
4008,4,2015-01-12,Záměr pronajmout občerstvení v klubovně u fotbalového hřiště,7,"Zastupitelstvo obce Vysoká nad Labem po projednání souhlasí s úmyslem pronajmout občerstvení v klubovně u fotbalového hřiště Poveřuje starostu vyhlásením záměru dle zákona 128/2000 Sb., o obcích. Vlastní výběrové řízení budevyhlášeno po uplynutí předepsané lhůty. ",
